EIN2,tier,text,human_label
EIN-05-0517863,MEDIUM,the mission of the institute for the study amd practice of nonviolence is to teach by word and example the principles and practices of nonviolence and to foster a community that addresses potentially violent situtations with nonviolent solutions,0
EIN-94-3076114,HIGH,to participate in partnerships formed for the purpose of developing and operating low-income housing,0
EIN-52-2263822,HIGH,"None profit charitable organization that exclusively undertakes charitable fund-raising activities and provides support for institutions helping AIDS-related orphans in Zambia. ZOA provides financial and other forms of support to institutions in Zambia involved in responding to the needs of AIDS orphans, funding of income generating projects to enahance capacity building and institutional self sufficiency, raise public awareness about the plight of AIDS orphans in Zambia, disseminate AIDS related information to institutions in Zambia, provide information to interested donors on Zambia and the projects being supported.",0
EIN-20-1405246,MEDIUM,to collect donation to support mccready manor a 501-3 organization,0
EIN-22-2975148,LOW,Preservation and presentation of traditional folk music,0
EIN-47-1691710,LOW,Education and Safety,0
EIN-46-1429857,MEDIUM,"the mission and purpose of the downtown monroe alliance is to address issues regarding a rebirth of monroe, louisiana's historic downtown district.",0
EIN-16-1195028,HIGH,to be a catalyst for entrepreneurship and innovation-based economic development by applying business expertise and network connections to aid in the formation and profitable growth of companies in the greater rochester and finger lakes region.,0
EIN-26-4197113,MEDIUM,"The Holly Springs Main Street Chamber is a non-profit, volunteer-driven organization working to enhance the quality of life in Holly Springs and to make it a better place to live, work and do business.",0
EIN-41-1690171,HIGH,"Provide volunteer support for the Irondale High School Band programs known as the Irondale Marching Knights (marching band), Winter Drumline and Winter Guard units, as well as support to curricular bands and ensembles. The Irondale Marching Knights and Winter units are co-curricular activities of Irondale High School, a Minnesota public school.",0
EIN-46-0685664,HIGH,the mission of dignity for divas is to support women across the puget sound to transition out of homelessness through the use of a self-care platform that creates pathways to success.,0
EIN-42-1560141,HIGH,Purpose of this organization is to encourage biblical faith. We do this through: 1. Praying with and teaching children and young people about prayer 2. Conducting Bible studies with children through adults 3. Conducting outreaches with adults to encourage them in biblical faith,1
EIN-47-2832174,HIGH,"the mission of bolcdcl is to provide the means for access to decent housing and opportunity for homeownership to all by building safe neighborhoods, a stronger community, and more meaningful economic opportunity.",0
EIN-47-3399074,LOW,school based health care educational apprentice,0
EIN-20-2965802,MEDIUM,"hosting the international science & engineering fair for the year 2010 in san jose, california. this is a high school science and engineering fair for both national and international high school students.",0
EIN-47-1959526,HIGH,"Interstate Projects' mission is to incubate, support and increase the dialogue of artistic practices through largescale, ambitious solo exhibitions and collaborative group shows as well as enabling contact and discourse between artists and curators throughout the United States and internationally. Focusing on new artistic practices, Interstate Projects gives artists the rare and unfettered opportunity to actualize large projects that expand their capacities by using the physicality of the gallery space in tandem with their creative ambitions and the technical and curatorial support of the organization. Interstate Projects is a zone of experimentation whose primary dedication is to support artists so that they can have a healthy and uncapitalized focus to explore and develop their practice in a safe, nurturing and supportive environment that is made up of peers and networked communities.",0
EIN-84-3169391,LOW,"Ministries, Humanitarian efforts, Public Charity",1
EIN-02-0734262,MEDIUM,"To teach youths who will grow into gun owners and hunters the safe way to hold, transport and operate firearms.",0
EIN-81-4036795,LOW,presenting foreign independent and documentary films to the community for educational purposes.,0
EIN-27-3167263,LOW,soccer club activities,0
EIN-59-2561967,MEDIUM,"The Mission of Sunnyside Foundation is to provide appropriate humanitarian aid through financial support and consumer protection for residents of Sunnyside Village in independent and assisted living, and to consider assistance with special requests for the needs of Sunnyside Properties of Sarasota Inc., Sunnyside Health Services Inc., and Sunnyside Retirement Inc., related 501(c)(3) exempt organizations.",0
EIN-27-0056983,LOW,"Teaching writers, how to write, edit, publish and market books & publications.",0
EIN-20-4177118,LOW,"measure, facilitate and champion greenville vision 2025",0
EIN-91-2143627,MEDIUM,the mission is to support poetry literature and and porvide free poublic access through the web,0
EIN-90-0769727,MEDIUM,"to provide housing, job support, and behavioral care for adults diagnosed with autism spectrum disorder.",0
EIN-16-1649901,HIGH,the mission of beyond the baby blues is to provide support to women experiencing perinatal depression and/or anxiety in the context of a therapeutic group that includes their babies. the organization also provides support and education to the public and other professionals regarding issues that face families experiencing postpartum depression.,0
EIN-13-2745417,LOW,Senior Citizen Programs,0
EIN-11-1828669,MEDIUM,"provides food, clothing & household items for needy families",0
EIN-22-2625623,LOW,to provide soccer to area youths.,0
EIN-30-0495632,MEDIUM,to provide an organized soccer program that fosters the player's appreciation of the game in a competitive team environment. players develop mental and physical abilities through a commitment to structured practices. the association philosophy stresses physical fitness and fair play.,0
EIN-47-3198029,LOW,Encouraging technology innovation & collaboration,0
EIN-83-2580573,MEDIUM,support of the south carolina state guard,0
EIN-52-0622480,LOW,esa is the largest membership organization in the world that serves the professional & scientific needs of entomologists and people in related disciplines.,0
EIN-71-1041194,HIGH,"To support, aid, promote, enhance and improve the activities programs (including athletics, fine arts, music and academic activities) of the Minnewaska Area School District # 2149 in Pope County, Minnesota. To enhance and secure student opportunities to participate in activities and to strengthen the relationship that exists between the school district, it's alumni and the communities that it serves, including Glenwood, Lowry, Starbuck, Sedan and Villard. To strengthen the educational system of the school district.",0
EIN-42-1341650,HIGH,"the organization's primary purpose is to administer to residents of cedar county by linking volunteers to volunteer services available in cedar county, iowa. with priority given to elderly, volunteers provide services that enable residents to remain in their homes in the community. the main program activity of the organization is providing transportation for cedar county residents through use of volunteers. another program activity is coordinating respite volunteers.",0
EIN-75-2815706,HIGH,"International Elephant Foundation (IEF) creates a sustainable future for elephants. We generate and effectively invest resources to support elephant conservation, education, research, and management programs worldwide. Through our passion, expertise, knowledge, and partnerships we inspire and engage people to ensure a vibrant future with elephants everywhere.",0
EIN-04-2597677,HIGH,"To foster, encourage, and promote the playing of the sport of soccer for all children and families in North Reading",0
EIN-82-2838594,HIGH,"To (a) encourage and promote awareness of, and educate adults and youth on, traditional Native Hawaiian history, customs, spiritual traditions and values; (b) promote Native Hawaiian-centered models of education and encourage greater sensitivity from educational institutions as to the special needs and values of Native Hawaiian students; (c) support programs related to the preservation and cultivation of traditional Native Hawaiian customs, attitudes and values; (d) engage in joint efforts with public and private entities to improve the conditions of people of Native Hawaiian ancestry; (e) assert, codify and defend the cultural expressions, traditional knowledge, art forms and creative works of Native Hawaiians; (f) promote civic engagement of Native Hawaiians; and (g) facilitate the gathering together of and communications among individuals and other groups whose purpose is to preserve and cultivate traditional Native Hawaiian history, customs, spiritual traditions and values.",0
EIN-84-2302783,MEDIUM,To provide grants to charitable organizations which align their activities with the charitable purposes of the Foundation,0
EIN-46-1566767,LOW,non denominational protestant church,1
EIN-83-0278909,MEDIUM,promoting mental wellness and providing essential mental health services in teton county regardless of a person9s ability to pay.,0
EIN-42-1457841,LOW,post-secondary education,0
EIN-47-2068532,HIGH,"to provide evidence based health promotion programs and trainings to schools, community groups and medical professionals.",0
EIN-95-4208425,LOW,Explore landlord-tenant issues,0
EIN-82-1539424,LOW,Focusingoncommunity-buildingeventsandprojectsthatsupporteconomicdevelopmentbylesseningtheburdensoflocalgov'tbytakingonactivitiesthatotherwisewouldrequirehiringadditionalstafforprofessionalservices.OurmissionistosupporttheresidentsofthecommunityandsurroundingruralareaofLindsaybyimprovingthelocaleconomythroughsupportingbusinessdevelopmentandattractingresidentstomoveand orstaywithinthecommunity.,0
EIN-25-1647072,LOW,first response fire company,0
EIN-23-7412316,LOW,the specific and primary purposes are to receive contributions of funds and historical material connected with the development and advancement of aviation for the preservation and exhibition of such material for educational purposes.,0
EIN-43-1566609,HIGH,"YOUTH MENTORING IN THE BLACK COMMUNITY ACTIVITIES INCLUDE; providing scholarships and promoting education, health & wellness",0
EIN-87-4598419,HIGH,"the mission is to train the minds and inspire the hearts of students through a classical liberal arts and sciences education that supports academic achievement, virtuous living, and responsible citizenship.",0
EIN-22-3618547,HIGH,access one inc. was organized to ensure the fair and comprehensive medical and social care of hiv/aids infected and affected indigent persons.,0
EIN-87-1905111,HIGH,We bring STEM educational resources to children of all socioeconomic backgrounds anywhere in the world; to develop accessible and affordable products services that foster unlimited learning. We develop youth leadership and innovation programs.,0
EIN-82-1825362,HIGH,To provide education of the public in support of immunizations.,0
EIN-41-1719170,LOW,religious renewal/natl support&development,1
EIN-63-1175535,LOW,to promote the welfare of the university,0
EIN-38-3522489,LOW,Educational Seminar Presentations in Churches and Schools,1
EIN-20-3288442,LOW,support of charitable causes,0
EIN-81-2263060,HIGH,"to promote the welfare of children in home, school, places of worship and throughout the community. to adovcate the laws that further education, physical & mental health, welfare and safety of children. to promote the engagement of families and educators in the education of study",1
EIN-58-2027457,MEDIUM,"the enloe arts guild is a parent-run organization that actively supports the seven arts disciplines through fundraising, volunteering, and performance assistance.",0
EIN-82-3903636,MEDIUM,"Generation Distinct equips to inspire and equip young adults to discover their God-given passions and join the adventure of changing the world for Christ. We create tools for young adults to believe in three core truths: 1) Young people have a great amount of potential through the power of Christ. 2) There is a wrong every young person was uniquely born to make right. 3) When young people link arms around the world in the pursuit of following Jesus and changing the world, we will combat a generational stereotype and redefine what it looks like to be a young person who follows Jesus.",1
EIN-26-4580974,MEDIUM,The mission of Threads of Hope is to break the cycle of poverty through strategies that empower the economically disadvantaged.,1
EIN-83-0712396,MEDIUM,"to promote self-sustaining economic development in alausi, ecuador through tourism, education and training programs.",0
EIN-45-5263070,MEDIUM,"the organization's mission is to provide a spiritual retreat to bring healing and reclaim human dignity for survivors of childhood, adolescent or adult traumatic sexual, physical, domestic or ritual abuse.",1
EIN-04-2125009,MEDIUM,"To empower girls, women and their families. Young Womens Christian Association strives to enhance the lives of the female gender through resoect for individuality, elimination of racism, celebration",1
EIN-23-2697698,MEDIUM,"the foundation provides programming and funding for educational programs geared toward k-12 studentsfocusing on workplace development and also organizes continuing education programs for adults throughout columbia and montour counties, pennsylvania.",0
EIN-20-3451003,LOW,teaching and training in ministries,1
EIN-68-0118991,HIGH,"the california fire foundation (cff) is a public benefit charity that provides assistance to victims of fire and conducts public education campaigns about fire safety and the devastating effects of fire. it recognizes the courage of fire fighters, and the perseverance and sacrifice of fire victims. the california firefighters memorial, located at the state capitol in sacramento, was built and is maintained by cff. it honors fire fighters killed in the line of duty and serves as a public tribute to the heroism of the profession and to the men and women who gave their lives to protect their fellow citizens.",0
EIN-22-3638463,HIGH,to provide financial support to families of deceased fire fighters,0
EIN-81-1763675,HIGH,"The Foundation was created to help protect young adults in the community from sudden cardiac arrest (""SCA"") by providing programs that permit early detection of heart defects and cardiovascular conditions, access to defibrillation and education that increases awareness. The Foundation works collaboratively with medical professionals and other organizations to identify heart defects and eliminate SCA in young adults by organizing and facilitating youth heart screenings and training students to perform ""hands only"" cardiopulmonary resuscitation (""CPR"") and to use Automated External Defibrillators (""AED"").",0
EIN-81-0742137,LOW,our mission is to conncect and celebrate the entrepreneurial ecosystem in fargo-moorhead.,0
EIN-45-2431216,HIGH,"the purpose of the corporation is to provide real life skills training to girls of all ages and to provide this program to underpriviledged, minority, and underservced girls.",0
EIN-85-0477634,MEDIUM,Provide workforce training and development to citizens of Northern New Mexico.,0
EIN-58-2302947,LOW,mission is to help beginning and struggling readers.,0
EIN-82-4740603,LOW,"raise the living standards, improve government",0
EIN-91-1222063,HIGH,"our mission is the efficient presentation of memorable special events in the greater tacoma area that honor our diverse heritage, inspire unity, and contribute to building a vibrant communities.",0
EIN-74-2664001,HIGH,"To ensure that dance remains a vital part of the community by advocating for local dance artists, educators, and enthusiasts.",0
EIN-58-1348531,MEDIUM,The mission of Piedmont Chamber Singers is to: (1)perform vocal chamber music (2)train musicians in vocal music performance practice (3)encourage the composition of new music for the small vocal ensemble (4)broaden interest in choral music as a whole through education and performance,0
EIN-34-0714730,HIGH,"the Young Mens Christian Association is universally regarded as being in its essential genius, a worldwide fellowship of persons united by a common loyalty to the principles of jesus christ for the purpose of developing christian personality and building a christian society. the Young Mens Christian Association shall be nondenominational and shall not discriminate against its staff, board, volunteers, committees, members or recipients of services based on any characteristic or status protected by federal, state or local law and is committed to a culture of inclusion and understands, respects and values the diversity of others.in carrying out its purpose the young men's christian association of youngstown, ohio through its membership, board of trustees, officers and employees, shall encourage and endeavor to have all persons participating in the programs and activities of the association attain the following goals:1.to develop self-confidence and self-respect and an appreciation of their own worth as individuals;2. to develop a faith for dai",1
EIN-48-6121370,MEDIUM,"KU Hillel's mission is to connect Jewish students to each other and to their Judaism, to inspire and equip the next generation of Jewish leaders and to build a thriving Jewish community on campus. We are developing Jewish adults. We are delivering the Jewish future.",1
EIN-23-7039364,MEDIUM,To defend and promote the public knowledge and understanding of human and civil rights and liberties secured by law.,0
EIN-23-7428285,HIGH,"the organization's mission is to improve the welfare of animals through spay/neuter of stray and homeless animals, veterinarian care of sick and injured animals, placement of homeless animals into permanent loving adoptive homes and education to promote pet ownership.",0
EIN-82-4544818,HIGH,"To create a safe and nurturing home environment for children who have been neglected and/or abused by recruiting and training caring and supportive foster parents and providing comprehensive therapeutic services to address the child's physical, mental, emotional, and social needs.",0
EIN-52-0694569,LOW,academic education for grades pre-k through 8,0
EIN-45-4120424,HIGH,"Our goal is to provide youth football & cheer as an outlet for kids & young adults. We will provide kids the opportunity to build their minds, their character and physical activity through the inspiration of football & cheer.",0
EIN-46-0581313,HIGH,the salina montessori school provides education for ages three to six based on the maria montessori educational curriculum. the school offers a premium education and tuition is intended to cover the cost of overhead including teacher's salaries. fund raising is necessary because the tuition is limited to make it affordable and does not cover the total amount needed to operate the school. the children who have attended the school and moved on to the public education system have excelled.,0
EIN-77-0419354,MEDIUM,"provide education throuth exhibits, displays and events showcasing the natural environment ty operating the natural history museum in santa maria, ca.",0
EIN-26-4641192,MEDIUM,"svelata is an organization dedicated to the creative expansion of hummanity through nomadic exhibitions,documentaries and educational programs designed to reveal the true nature of creativity, and the transformative power of beauty.",0
EIN-46-3083706,HIGH,"Serving the needs of merdity.Society of St Vincent De Paul help with the needs of people that call the church by providing shelter, clothing, bus passes, and help pay utility and medical bills.",1
EIN-31-1600929,HIGH,To provide assisted living care to low-income elderly and disabled adult residents.,0
EIN-75-2536818,HIGH,"To achieve excellence in the delivery of accessible, cost effective, quality health care and demonstrated customer satisfaction that delivers value to patients, payers, and the community in partnership with Baylor Health Care System.",0
EIN-22-3188213,LOW,an organization for the purpose of educating the citizens in ways of improving the community's appearance.,0
EIN-13-3523329,HIGH,"the preserve's mission, as determined by its board of trustees, is to preserve and protect - and promote the appreciation of - the natural heritage of the mianus river gorge and the quality of its watershed (the municipal water supply for over 130,000 residents downstream in new york and connecticut). the mianus river gorge preserve is a wilderness area and a setting for educational and scientific activities. its purpose being accomplished through acquisitions of land and interests in land in the mianus river valley, the protection of the preserve's buffer zones, public activism and education, legal action when needed to protect the preserve's vital interests, ongoing research and scientific studies and land management and visitation policies that protect the land under stewardship.",0
EIN-04-3272953,MEDIUM,to provide affordable housing for the elderly.,0
EIN-20-4575025,LOW,Volunteer fire company for the town of Dickinson.,0
EIN-71-0418752,HIGH,provide education and training for developmentally disabled individuals,0
EIN-01-0961799,HIGH,Hope Builders International supports people and projects proven effective in ministering God's love to their communities. We develop prayer and support for them.,1
EIN-31-1429016,HIGH,To build broad based private/public partnerships supporting the conservation and enhancement of our City's parks and greenspaces.,0
EIN-27-4170342,MEDIUM,"mission statement our mission is passionate devotion in helping to ensure that young people are enlightened, prepared, and encouraged to live and enjoy fruitful lives intended for them as we serve youth ages 12 - 18 years and their parents. give hope, educate youth, encourage healthy lifestyles & serve parents",1
EIN-54-2090590,LOW,to faciliatate the development of affordable housing.,0
EIN-47-4521886,MEDIUM,the moraga community foundation is a philanthropic organization that works with the community to build a vibrant future for moraga.,0
EIN-85-4397314,LOW,Photography,0
EIN-13-3919147,HIGH,"Groove With Me, Inc. is a youth development organization using free dance classes and performance opportunities as a tool to instill in young women the leadership, pride, spirit of cooperation, creativity, joy and discipline needed to confront the adversity in their daily lives and throughout their future development. The program seeks to decrease teen pregnancy, truancy, crime, violence, prostitution, substance abuse and gang related activity by nurturing youth, building self-confidence, offering positive choices, and providing a safe place to go.",0
EIN-47-4323018,HIGH,"the primary goal of the corporation is to conduct fundraising activities to benefit the development and wellbeing of at risk youth, including but not limited to students and citizens of the greater houston area, in achieving their rights to higher education.",0
EIN-13-6125002,MEDIUM,"DFA is dedicated to furthering the art of dance film. Connecting artists and organizations, fostering new works for new audiences, and sharing essential resources, DFA seeks to be a catalyst for innovation in and preservation of dance on camera.",0
EIN-57-0893639,LOW,protecting and preserving lake hartwell and its watershed,0
EIN-33-0995500,HIGH,"The mission of the Housing Land Trust of Sonoma County is to increase home ownership opportunities to low- and moderate-income families in Sonoma County while ensuring permanent housing affordability through the use of a land trust model. Our mission is based upon the belief that (1) all working families deserve a home of their own, and (2) communities with homeowners from a broad socio-economic range are the strongest and most vibrant.",0
EIN-20-4267783,LOW,to promote the jazz music genre,0
EIN-22-2554082,LOW,athletic fitness and health,0
EIN-73-1701786,HIGH,"the mission of knock knock children's museum is to create a best-in-class museum, delivering extraordinary play experiences and programs to inspire and promote young children's intellectual curiosity, self-experession and early literacy development.",0
EIN-58-1628867,LOW,"Advancement of Cosmetic Science through dissemination of scientific information, through meetings and publications.",0
EIN-23-7219961,HIGH,"To promote the performance of chamber music, particularly the string quartet and related literature; to promote musical education in the field of string and other orchestral instruments; to promote and support the education and development of students pursuing careers in the field of chamber and other classical music; and to promote the general publics interest in chamber music by means of concerts, lectures, teaching and other means.",0
EIN-85-0394860,HIGH,"Educate the general public on the actions of the United States military. This is addressed by the display of military artifacts at car shows, veteran events, public parades, and visits to history class.",0
EIN-68-0180412,MEDIUM,to support the calistoga fire dept. through the funding of safety,0
EIN-83-1302493,HIGH,"To promote the Simmesport community through economic development and charitable services, including fairs and festivals.",0
EIN-04-2630450,HIGH,"wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.",0
EIN-02-0428596,MEDIUM,"Parent Teacher Association, support for school children",0
EIN-45-3909243,LOW,fundraising for juvenile diabetes research and an annual higher education memorial scholarship.,0
EIN-94-3083329,LOW,inactive foster care/adoption agency,0
EIN-47-1015197,LOW,the purpose of this organization is to operate exclusively for charitable and educational purposes as a nonprofit corporation within the meaning of section 501 c3 of the internal revenue code of 1986 as amended the organization fulfills its purpose,0
EIN-33-1170597,LOW,basic health service to uninsured,0
EIN-92-1218185,MEDIUM,"at brave like me, we believe every child deserves to live without limitations. that's why we're breaking down the barriers that isolate children with complex medical conditions by providing experiences built around their interests and their individual needs.",0
EIN-86-1791698,LOW,teaching food supply sustainability through agri-technology,0
EIN-75-2725916,HIGH,"the foundation provides vocational and rehabilitation services, as well as training and employmwnt for residents of st. giles living centers. st. giles living centers is a ""c"" corporation.",0
EIN-83-1940124,HIGH,"the american flood coalition empowers a nonpartisan group of political, military, business, and local leaders that have come together to drive adaptation to the reality of higher seas, stronger storms, and more frequent flooding. the coalition seeks to advance national solutions that support flood-affected communities and protect our nation's residents, economy, and military installations.",0
EIN-31-1579359,MEDIUM,"to improve the quality of life, increase the independence, and assure the full inclusion in the community of all persons with developmental disabilities.",0
EIN-20-4581007,HIGH,"to work effectively with college students to enhance their lives through bible study and discipleship; provide opportunities to evangelize, disciple and develop leaders through one on one witnessing and systematic bible studies, prayer meetings and counseling; and be of service to lee county and the state of alabama, with respect to meeting needs in the charitable, religious, literary, and educational areas.",1
EIN-83-2278286,LOW,elementary_education_k-8,0
EIN-86-1555951,LOW,Createasafespacethatservesasahealingoutletforadolescentsandyoungadultswhohaveexperiencedtraumaticevents.TheorganizationmissionistoprovidecreativehealingtechniquesinhopesofreducingPTSDinurbanareas.,0
EIN-85-0926443,MEDIUM,"Honor Movement Foundation hereafter referred to as The Corporation is a non-profit corporation and shall be operated exclusively for charitable, religious, educational, and scientific purposes, including, for such purposes, the making of distributions to organizations that qualify as exempt organizations, under Section 501 (c)(3) of the Internal Revenue Code, or the corresponding section of any future federal tax code. Honor Movement Foundations mission is to honor and support active duty military, veterans, and first responders and their families in an effort to provide improved quality of life for those who have sacrificed for our country.",0
EIN-84-4283190,LOW,to foster cats with special needs with the ultimate goal of placing them in permanent homes.,0
EIN-85-3018978,LOW,integrated and articulate actions in defense and promotion of human rights freedoms and democratic values as well to atended the humanitarian situacion inside an abroad.,0
EIN-36-4397387,MEDIUM,"masonic family health foundation, inc. is organized exclusively to further the charitable, educational, and scientific purposes of masonic family health services, a tax exempt not-for-profit organization, and other tax-exempt organizations operating in the chicago metropolitan area or other areas of the midwest that further the promotion of health or other educational or charitable purposes.",0
EIN-30-0120421,HIGH,"The Golden Retriever Rescue Club of Charlotte (GRRCC) is a volunteer-staffed, non-profit organization that rescues, and places for adoption, unwanted, abused, neglected, or abandoned Golden Retrievers in the Charlotte, NC area. GRRCC orphans generally come from the local animal shelters, previous owners, or are found as strays.",0
EIN-11-3192966,HIGH,"education, advocacy and social support services for long island gay and lesbian youth and surrounding areas.",0
