EIN2,split,text,human_label
EIN-92-2948670,prompt_dev,"We perform religious and charitable works to relieve the poor and needy; this includes prayer, affordable housing, community outreaches, food assistance, clothing assistance, and other resources to enhance physical, mental, and spiritual health.",1
EIN-83-2560847,prompt_dev,to educate strengthen and empower under served communities through digital community engagement advocacy and training.,0
EIN-54-1606631,prompt_dev,"volunteer fire protection, hazardous material response and rescue services in natural bridge, virigina, and the surrounding community.",0
EIN-27-1083539,prompt_dev,to operate camps for christian ministry.to witness to the lordship of jesus christ and provide an extraordinary christian community experience.,1
EIN-43-6048701,prompt_dev,to provide christian camping for children,1
EIN-56-0529984,prompt_dev,"the boy scouts of america is one of the nation's largest and most prominent values-based youth development organizations. the bsa provides a program for young people that builds character, trains them in the responsibilities of participating citizenship, and develops personal fitness. the bsa has helped build the future leaders of this country by combining educational activities and lifelong values with fun. the boy scouts of america believes, and through experience, knows that helping youth is a key to building a more conscientious, responsible, and productive society.",0
EIN-35-1158181,prompt_dev,To share the Gospel of Jesus Christ with children in Elkhart and Lagrange Counties as well as Togo West Africa.,1
EIN-58-1112549,prompt_dev,philips tower is a christian ministry providing exceptional services to enhance the quality of life for senior adults.,1
EIN-45-1744226,prompt_dev,"Global Orphan Hope seeks to serve by caring for orphans around the world. Global Orphan Hope believes that every child deserves to be loved, to feel secure, and to have a place to call home. When a child cannot remain with his/her family, it is our desire for that child to feel loved and to know that his or her educational, emotional, physical, and spiritual needs will be provided by loving, gentle hands.",1
EIN-80-0306828,prompt_dev,"To support the activities of North County Health Project, Inc. a non profit 501(3)(c) Federally Qualified Health Center serving the health care needs of the community and serving especially the uninsured.",0
EIN-20-8684060,prompt_dev,"change the truth is a not for profit organization dedicated to improving the lives of children in uganda, in particular those at st. mary kevin motherhood orphanage in the small town of kajjansi.",0
EIN-13-3675270,prompt_dev,"new york women's agenda is a coalition of women professionals, organizations, and community activists who support the diversity and interests of new york women through collaboration, advocacy and education.",0
EIN-58-2058358,prompt_dev,"to provide trained, screened and supervised volunteers to advocate for the best interest of abused and neglected children in juvenile court deprivation proceedings.",0
EIN-45-0443523,prompt_dev,dakota business lending is a small business resource that drives economic growth by:1. providing unique financing opportunities2. positively impacting the communities we serve3. educating and guiding small businesses4. building partnerships that add value and creating an environment where our team members thrive.,0
EIN-20-2629999,prompt_dev,"to achieve a disaster resilient and safe community through education, training and partnerships",0
EIN-84-3656926,prompt_dev,"the jason w. read protect and serve foundation is a non-profit organization that provides donations to law enforcement agencies to help protect officers while they are on duty. donations include, but are not limited to, equipment, training, or funds.",0
EIN-47-4326632,prompt_dev,charitable purpose of offering direct financial support to students to advance their education for a career in the wine industry and advocating the wine industry to support gender diversity and talent development.,0
EIN-20-5235736,prompt_dev,"innovate st. louis focuses on the promotion of science and technology by facilitating, stimulating, and sponsoring educational endeavors which will ultimately serve to make st. louis a haven to innovation.",0
EIN-46-1028799,prompt_dev,"the widernet project works to deliver educational resources, knowledge and training to underprivileged individuals and communities worldwide and improve their digital communication. the widernet project is a non-profit organization based in chapel hill, nc and affiliated with the school of information and library science at the university of north carolina, chapel hill. the widernet project serves many people who lack internet connectivity and information resources, but its work focuses especially on the needs in developing countries. it is the mission of the widernet project to make educational resources and training opportunities available to those challenged by economic or geographic advertisity so that they can join the rest of the world on an economically sustainable level.",0
EIN-59-2794573,prompt_dev,"myers & briggs foundation's mission, as a not-for-profit organization, is to extend and teach the accurate understanding of the practical applications of the c.g. jung's theory of psychological types, which shows how our differences in experiencing events and making decisions can be valuable rather than divisive and can be used constructively to promote personal development, to manage conflict, and to increase human understanding worldwide.",0
EIN-04-3777159,prompt_dev,To provide an affordable monthly forum for people interested in astrology to gather and explore this ancient language.,0
EIN-81-3737244,prompt_dev,"we exist to partner with the local church to mentor, mobilize and multiply its ministry and leadership portential.",1
EIN-82-3034154,prompt_dev,"promoting and teaching health, fitness and spiritual growth around the world to improve communities and individual lives",0
EIN-58-1453476,prompt_dev,a religious organization that provides spiritual related teaching and ministries to its membership and community,1
EIN-22-6109425,prompt_dev,"provide opportunities for spiritual, academic, social & recreational enrichment. after school programs for children and a parent program",0
EIN-93-0446524,prompt_dev,to provide our catholic community with a beautiful cemetery to remember our deceased family and friends in a spiritual setting.,1
EIN-99-0314456,prompt_dev,"kauahea, inc. supports hawaiian arts and culture, hawaiian spiritual practices, and the preservation and perpetuation of hawaiian language by providing access to learning opportunities throughout our community.",0
EIN-84-3238596,validation,"inspiring gardens inc. will design, install and maintain therapeutic gardens that benefit the spiritual, physical and emotional needs of individuals who have or are currently experiencing stress and/or trauma which includes volunteers/employees who care for such individuals. these gardens include, but are not limited to, garden spaces for the incarcerated youth/adults; hospices; victims of assault/violence; hospitals; chronic care facilities; addiction recovery centers; victim shelters; halfway houses and alternative schools.",0
EIN-45-5572999,validation,to nbsp;promote nbsp;the nbsp;cultivation nbsp;of nbsp;buddhism nbsp;through nbsp;meditation nbsp;recitation nbsp;of nbsp;the nbsp;sutras nbsp;dharma nbsp;talks nbsp;and nbsp;discussion nbsp;and nbsp;to nbsp;participate nbsp;in nbsp;charitable nbsp;activities nbsp;all nbsp;over nbsp;the nbsp;world nbsp;as nbsp;per nbsp;the nbsp;president nbsp;s nbsp;discretion,1
EIN-46-2911313,validation,provide funding to the grand haven christian school's for the purchase of goods and services at the request of teachers and staff in the school.,1
EIN-26-3922613,validation,"the tony blair africa governance initiative-us (tbagi) received permission from the nys attorney general to operate under the assumed name the tony blair foundation (tbf.) on december 28, 2016, a certificate of merger, effective january 1, 2017, was filed with the delaware secretary of state, merging the tony blair faith foundation-us (tbff) into tbagi.tbagi was incorporated in 2008 to support programs that pioneer new ways of working with african countries, equipping visionary african leaders with the capacity to deliver on their reform agendas, tackle poverty and attract sustainable investment. tbff's mission was to provide the practical support to prevent and counter religious conflict, prejudice and extremism in order to have an open minded and stable world. tbf has been formed to continue to support both of these initiatives as well as support the initiative in the middle east to boost confidence between israel and palestinians for a more diplomatic process in the region.",0
EIN-94-2665959,validation,provide financial support to st helena high school athletic programs.,0
EIN-23-3015092,validation,"The LCC International Fund, Inc. is a non-profit organization that promotes Christian post-secondary education in Lithuania, Eastern Europe, and Central Asia.",1
EIN-52-1885486,validation,"Ignatian Lay Volunteer Corporation (d/b/a Ignatian Volunteer Corps, d/b/a IVC) (the Organization) is a religious nonprofit Maryland corporation whose purpose is to provide men and women age 50 and over the opportunity to serve the needs of people who are poor, to work for a more just society, and to grow deeper in Christian faith by reflecting and praying in the Ignatian tradition. The Organization was founded by Jesuits (Society of Jesus) of the Maryland Province in response to General Congregation 34 of the Society of Jesus. The Organization is independent and lay led, and firmly committed to maintaining its Ignatian character and its strong ties to the Society of Jesus.",1
EIN-43-1145808,validation,"Shaping young lives through musical excellence. The goal of The St. Louis Children's Choirs is to empower the youth of St. Louis through a rich choral program that helps each young singer realize their full potential - as a musician and as a person. A skilled team of directors and accompanists provide our ensemble members with musical training and character building through quality choral literature and world-class performance opportunities. Young singers, ages 6-18, rehearse weekly, learning choral singing, performing, music reading, artistry and expression - all while developing key character and achievement skills. Participation in the Choirs develops life skills such as teamwork, leadership, self-discipline, commitment, focused concentration, and respect for diversity. Students share their artistry and love of singing on the concert stage, throughout the St. Louis community, and in national and international tours.",0
EIN-20-5937667,validation,"the organization is established to further the exempt purposes of keeping the bhakta family of southwest region united and organize religious and cultural activities like bhajan, garbas, picnics, diwali programs, team building trips, etc. any event where members of the southwest are together as an organization is considered a southwest samaj event. the organization also provides education scholarships and sports activities for sw region samaj.",1
EIN-27-2310026,validation,"provide basic life support and advanced life support ambulance service to residents of the new york state townships of brighton, franklin, harrietstown, north elba, santa clara, and st. armand and the village of saranac lake.",0
EIN-20-8185890,validation,"The mission of Lift For Life Gym is to offer St. Louis city children a safe, enriching environment in which to strengthen their bodies, enrich their minds, develop healthy social relationships, and learn to make positive life choices.",0
EIN-75-2830923,validation,"Organization Maintaine & Preserve the Cultural, Social, Educational, Spiritual, Linguistic, Ecomomic, Health and tradional needs of the Members of the Carrizo Comcrudo Tribe and other Native American gro",0
EIN-47-2817064,validation,"the organization's mission is to fund medical entities, charitable entities with a goal of mitigating cancer and families in need of medical treatment for cancer",0
EIN-23-2976775,validation,"to advocate and encourage, support and assist with the emotional, spiritual and financial responsibilities of parents to their children.",0
EIN-43-6044421,validation,"the objects and purposes are as follows: 1) to operate as a non-profit association, charitable in its intent, by sponsoring a charitable ball at which young ladies may be presented to the archbishop of st. louis,and the net contribution of such charitable ball shall be given and paid over directly each year to cardinal glennon children's hospital in st. louis for the use and purposes as are required by the medical center or to any other catholic organization designated by the board. 2) to conduct a series of dances for children of members and catholic children of their friends and associates, the net proceeds thereon shall be given and paid over directly to cardinal glennon children's hospital or to any other catholic organization designated by the board. a child who is not a catholic may be permitted to attend the dances with the consent of the executive committee and the approval of the archbishops representative.",1
EIN-45-3515011,validation,"to provide shipping, purchasing, logistical, and other support services to christian missionaries in the united states and internationally.",1
EIN-94-6114235,validation,"esalen is a leading center for exploring and realizing human potential through experience, education, and research. we work toward the realization of a more humane world, seeking answers to questions unlikely to be explored by traditional universities and religions. esalen sponsors pioneering initiatives and offers personal, spiritual, and social transformation programs for residents, interns, and workshop participants.",0
EIN-23-2463233,validation,"Diakon Lutheran Senior Housing at Heilman House offers affordable, equal opportunity senior-housing accommodations. In 2010, the Diakon Lutheran Senior Housing at Heilman House provided 18,181 days of accommodation, for an occupancy rate of 99.62%.",1
EIN-47-5348862,validation,"elshadai et provides education, food, health care and spiritual development opportunities to impoverished children in addis ababa, ethiopia",1
EIN-31-1140515,validation,"See Schedule OThe Organization provides for orphaned and forgotten children and empowers families through activities such as education, health and nutrition, counseling and spiritual nurture, family support, and the pursuit of justice. The Organization also develops partnerships that help create futures of hope for at-risk kids as well as self-sustaining families and communities in a variety of countries throughout the world.",1
EIN-76-0329605,validation,provide new music/songs to churches for their worship.,1
EIN-34-1443269,validation,"offer pregnancy test, abstinence programs, post-abortion bible studies, assistance with material need, first trimester ultrasounds, men's mentoring program, parenting classes. utilizes client advocates to assist clients with pregnancy and child development topics. services are free and confidential with focus in wayne co oh area.",1
EIN-91-1547974,validation,to inspire and mobilize the christian community to take a leadership role in building a just and sustainable future.,1
EIN-43-1101962,validation,Serve as a statewide entity to focus public and private attention on the changing needs and concerns of Missouri's elder population and establish a network for consumer outreach and assistance for public benefits.,0
EIN-56-2018426,validation,"The Chapel Hill High School Band Booster Club, Inc (""the Booster Club"") engages in fundraising special events listed on Schedule G, including selling gift certificates to local grocery stores, staffing concessions at the University of North Carolina home athletic events and at certain Chapel Hill High School Fine Arts auditorium events, and the hosting of a Swing Band Dance event. In addition, members and students participate in solicitation event including fruit sales, winter guard t-shirt and other product sales. All special event activities are preformed to meet the Booster Club's primary exempt purpose - to provide financial support to the Chapel Hill High School Band programs. The Booster Club believes these activities fall under the exclusions from unrelated trades or business contained in Section 513(a)(1)-(3) of the Internal Revenue Code. Specifically, the Booster Club confirms: - all work for these activities are performed entirely by volunteers without compensation",0
EIN-38-2518504,validation,"Life Matters Worldwide (LMW) encourages, equips and connects pregnancy care center leaders, their staff and surrounding churches. As a pro-life organization, LMW provides educational, spiritual, relational and professional support; assuring that pregnancy centers and (Sch O)",1
EIN-87-0489740,validation,to promote and support christian home education in utah.,1
EIN-26-0096240,validation,"gateway pet guardians is an animal shelter whose passionate and dedicated staff and volunteers care for animals on the streets of east st. louis, illinois and surrounding areas. our mission is to end homelessness for animals in the metro east through rescue, rehabilitation, adoption, community outreach and education.",0
EIN-26-1854750,validation,"we, lourdes health system and trinity health, serve together in the spirit of the gospel as a compassionate and transforming healing presence within our communities. in the tradition of the franciscan sisters of allegany, new york, we serve all who come to us with reverence and integrity in a simple, joyful and hospitable manner. life at lourdes, inc. is a member of lourdes health system and trinity health.",1
EIN-81-5441047,validation,To provide grief support after personal loss and/or losses in Central Texas.,0
EIN-23-7087052,validation,"To foster greater economic and financial literacy among Virginias K-12 students. Through teacher education and support it seeks to have all students learn basic economic principles and develop financial skills needed to be informed citizens, productive employers and employees and wise consumers, savers and investors.",0
EIN-85-0241340,validation,"to provide assistance to people in need. for over thirty years the storehouse has been a safety net that has provided food, clothing, and household items free of charge for people struggling to support their families in a time of crisis. there is never a charge for food or clothing at the storehouse and we never turn anyone away.",0
EIN-46-1738683,validation,"serving women, father and babies born and unborn, in dodge county by offering support, guidance and education in times of physical, emotional and spiritual need.",1
EIN-82-5325577,validation,to provide transport and distrubute school supplies to children in mozambique,0
EIN-27-3106327,validation,To serve the community needs with the Gospel of Christ.,1
EIN-81-1159179,validation,autism hope for families purpose is to raise funds and to provide support and education to individuals with autism spetrum disorder and their families.,0
EIN-25-1874675,validation,"promote the sport of competitive swimming,, teamwork and sportsmanship by offering quality coaching and technique instructions for all ages and abilities.",0
EIN-59-1031546,validation,"To provide our clients with developmental disabilities dignified, compassionate, professional care in a family environment for the duration of their needs.",0
EIN-35-2338110,validation,"schedule of accomplishmnets: depaul usa created exciting new projects and met with great successes in 2013. in addition to our on-going work in philadelphia, macon, and new orleans, in 2013 depaul usa expanded to st. louis. depaul usa now has housing programs in st. louis and philadelphia. our macon and new orleans projects fill gaps in services, focusing on meeting basic needs-hygiene, medical, transportation-and collaborating with existing housing and employment agencies to serve the clients. meet us in st. louis in 2013, depaul usa began work in st. louis, merging with projects more and plus, two programs that provide scattered-site, permanent supportive- housing for 70 formerly homeless men and women with disabilities. residents live in small apartments where they restart life, have safe shelter, and maintain modest supplies of food and clothing. depaul usa pays landlords the rent for the apartments, and a team of five caseworkers visits all residents at least weekly, checking on t",0
EIN-54-1816368,validation,"seeking to put god's love into action, habitat for humanity brings people together to build homes, communities and hope to realize our vision of a world where everyone has a decent place to live. blue ridge habitat for humanity adheres to a strict non-proselytizing policy and will not base an offer of assistance on the expressed or implied condition that people adhere to or convert to a particular faith or listen and respond to messaging designed to induce conversion to a particular faith.",1
EIN-20-3288245,validation,"the st. louis integrated health network, through collaboration and partnership, strives for quality, accessible and affordable healthcare services for all residents of metropolitan st. louis, with an emphasis on the medically underserved. our guiding principles reflect our most important organizational commitments: health equity, patient-centered orientation, accountability, outcome-focused decision making, and innovation. our strategic priorities include growing our charitable programs and initiatives, stabilizing and developing workforce, and accelerating equity in healthcare.",0
EIN-46-3111366,validation,Support American Chemical Society Local Sections in the northeast to program annual meeting for the community.,0
EIN-77-0676739,validation,"our mission is public service. promote traditional chinese culture through events, workshop and promotion of cuture event. promte multicultural diversity - through information, education and the arts; more specifically through community radio. the goal is to bring significant programming to under-represented groups in bellevue while concurrently enhancing and enriching broader audiences in the city of bellevue radio market.",0
EIN-41-1597047,validation,"this trust has been established for the purpose of permitting the virginia regional medical center, a non-profit, exempt hospital to self fund workers compensation benefits.",0
EIN-04-3383996,validation,"Southern District Young Mens Christian Association/ Camp Lincoln, Inc. has been listening and responding to our communities' most critical social needs since 1926. Southern District Young Mens Christian Association supports its communities with neighborhood-based programs and services that annually impact the lives of more than 20,000 residents in Rockingham County, NH, and beyond. Young Mens Christian Association programs build healthy spirit, mind and body for all. Every day, we work side-by-side with our neighbors to make sure that everyone, regardless of age, income or background has the opportunity to learn, grow, and thrive. We improve lives and strengthen character by fostering youth and family development, healthy living and social responsibility. Passionate staff and volunteers deliver the Y's mission through three (3) branches: Exeter Area Young Mens Christian Association, Young Mens Christian Association Camp Lincoln and Young Mens Christian Association School Age Child Care.",1
EIN-47-1347997,validation,To provide religious and spiritual services to the community.,1
EIN-35-1112606,validation,"west-central indiana and east-central illinois schools. economic and applied business education programs that are taught to elementary, junior high and senior high school students in participating west-central indiana and east-central illinois schools.",0
EIN-39-1581135,validation,"We were able to help the needy with food, etc. and provide a $3000 grant to St. Joseph's food program in Appleton, WI",0
EIN-46-3980483,validation,"Our goal is to provide funds to individuals who are struggling financially while battling long term/terminal cancer. We produce bows, wreaths and prayer pens from donated and purchased materials. We sell these items in order to raise money to financially assist these individuals in our community.",0
EIN-20-3894719,validation,"evangeline ministries works especially with poor women who live with hiv and aids to give them skills that will help them earn a living for themselves and their families. almost all of these women come from masiphumelele, an informal settlement in fish hoek in south africa.",1
EIN-20-4461871,validation,"the leadership connection's mission is to support the call, strengthen lives, and improve the skills of ministry leaders worldwide.",1
EIN-26-0254889,validation,empowering young people to face and overcome difficulties of the obstacles and false ideas youth encounter in today's society. providing a wholesome atmosphere in which young people naturally develop a spiritual relationship with jesus christ.,1
EIN-83-0349805,validation,"biogenerator, a 501(c)(3) not-for-profit organization, was created to accelerate the commercialization of life science technologies in the st. louis area by creating and sustaining a formal network to support technology transfer, education and scientific research. biogenerator uses its entrepreneurial, financial, and research capabilities to assist start-up technology based companies and to assist the transfer of new technologies to the market place. biogenerator accomplishes this through: - providing educational advisory services - providing educational opportunities to prospective entrepreneurs - providing proof-of-concept support",0
EIN-27-3272909,validation,"Brave New Software is dedicated to keeping the Internet open and decentralized. We build open source software tools that helps users access an uncensored internet, and create a more open and protected information infrastructure for us all.",0
EIN-13-2768939,validation,"greater centennial homes housing development fund company, inc., (the ""project"") was incorporated in july 1981, as a not-for-profit corporation, incorporated under the laws of the state of new york. (for continuation of mission statement - see schedule o). the project is sponsored by the greater centennial a.m.e. zion church of the city of mount vernon. the principal purpose of the project is to provide housing for low and moderate income families and to demonstrate a continuing committment to managing and preserving a viable source of quality affordable housing in mt. vernon.",1
EIN-59-1282441,validation,"CCC SEEKS TO PROVIDE AFFORDABLE COUNSERLING BY CARING, ENCOURAGING, AND PROMOTING EMOTIONAL WELL-BEING TO INDIVIDUALS FACING LIFE'S CHALLENGES BY PROVIDING BIBLICAL BASED COUNSELING TO EMPOWER PEOPLE TO ACHIEVE EMOTIONAL, SPIRITUAL AND RELATIONAL HEALING. PROVIDES OPPORTUNITY FOR INDIVIDUALS TO RECEIVE SERVICES WHO ARE EXPERIENCING FINANCIAL HARDSHIP, CLIENTS ARE OFFERED 10 SESSIONS UNDER SCHOLARSHIPS. THE CONTRIBUTIONS ALSO OFFERS SESSIONS/SERVICES AT BELOW MARKET RATES. NOTE- We continue conducting counseling virtually as well as operating fully functional in-person.",1
EIN-83-4454249,validation,"the mission of the center is to dignify the family, defend all life, and disciple those we encounter. it is with this mission in mind that we strive to provide a place where everyone can feel comfortable and ask questions and receive information, support and the services needed.",0
EIN-23-2072722,validation,"caring for friends, founded in 1974, is a food bank, prepared meals program, and caring kitchen. our mission is to provide food and friendship to seniors, kids and adults, the homeless and those in shelter in greater philadelphia. we are a volunteer organization supported by a small staff. caring for friends volunteers sort, prepare, pack and deliver six days a week. we provide fresh, frozen and shelf-stable food to faith-based and community organizations to fill their pantries and support their food sharing programs.",0
EIN-92-3227038,validation,"39 North aims to be the agri-food tech/plant science hub that brings together people, resources, and facilities to grow St. Louis' economy and global reputation.",0
EIN-23-2802663,validation,the institute for law and economic policy is a public policy research and educational foundation established to preserve study and enhance access to the civil justice system by all consumers and investors.,0
EIN-81-0623684,validation,Organized an annual event honoring Dr. Martin Luther King Jr.s legacy while raising scholarship funds for high school seniors from underserved communities pursuing higher education. Hosted workshops pastoral training sessions and leadership summits to equip faith leaders with tools to serve their congregations effectively. Partnered with local schools and organizations to mentor at-risk youth provide tutoring programs and offer scholarships to students seeking post-secondary education. Advocated for policies addressing racial equity economic justice and educational access engaging with local government and community stakeholders.Conducted community health Conducted community health screenings mental health awareness initiatives and wellness workshops to support holistic well-being within our congregations.These activities align with our mission by addressing community needs promoting education hereby maintaining our 501c3 tax-exempt status,0
EIN-88-4385022,validation,plurality institute's mission is to support the development and research of plural technologies to amplify the power and value of human cognitive diversity.,0
EIN-54-1598149,validation,animal adoption and care of animals.,0
EIN-16-1107827,validation,provide volunteer fire prevention services to area residents.,0
EIN-81-0288768,validation,"st. john's lutheran ministries is a community of diverse people sharing god's healing presence. our mission is to provide living opportunities within nurturing environments of hope, dignity & love.",1
EIN-71-0933434,validation,"The mission of Cathedral Health & Outreach Ministries, better known in the community as THE BEACON, is to provide services that restore dignity, self respect and hope to the poor and homeless of Houston.",1
EIN-82-2927221,validation,"to establish and oversee a place of worship, teach and preach the gospel to all people, conduct evangelistic and humanitarian outreach, license and ordain ministers of the godspel and to engage in activities which are necessary, suitble, or convenient for the accomplishment of that purpose, or which are incidental thereto or connected therewith which are consistent with section 501(c)3 of the internal revenue code.",1
EIN-63-1151304,validation,fire protection to residents,0
EIN-85-2525369,validation,"the corporation is organized for the charitable and and educational purposes of (i) encouraging college education for students in financial need who demonstrate acacdemic excellence by providing scholarship assistance to high school graduates who attended the cedar grove township, nj public high school and/or st. catherine's of siena private school located in cedar grove, nj and (ii) conducting any other activities and performing any other acts which may be necessary or appropriate for the furtherance, accomplishment or attainment of the above mentioned purposes.",0
EIN-84-3952961,validation,"350 chicago envisions a local and global future in which the worst consequences of climate change are mitigated. every tenth of a degree will prove crucial. keeping global warming below 2c is critical for maintaining ecosystems and the planet's habitability. our mission is to build a sustainable and resilient city by educating ourselves and our communities, engaging with leaders, organizing coalitions to achieve goals, and taking grassroots action. we pursue this vision via an equitable transition to renewable energy, divestment of institutions from fossil fuels, the defunding of fossil fuel infrastructure, and national decarbonization.",0
EIN-45-4383064,validation,"To provide charitable, educational, religious, and other support to improve the quality of life in the Dominican Republic.",1
EIN-20-0146487,validation,promoting quality horticultural practices and materials by providing educational experiences to the greater st. louis region.,0
EIN-61-1523951,validation,"The purpose of the Organization is to provide services and programs to meet the needs of the poor, the homeless and disadvantaged individuals and families residing in Escambia County, Florida. This is done by providing food, clothing and ministering to their spiritual needs.",1
EIN-20-4526894,validation,support the efforts of the gulf coast communities recovering and rebuilding in the aftermath of hurricane katrina and provide low and moderate income families in mississippi with affordable housing.,0
EIN-82-5151918,validation,"ReflectUS is a nonpartisan coalition working to increase the number of women in office and achieve equal representation across the racial, ideological, ethnic, and geographic spectrum.",0
EIN-54-1192424,validation,the institute works as a public education organization that focuses on a wide spectrum of rapidly evolving foreign policy and international issues.,0
EIN-53-0184647,validation,"americans united for separation of church and state is a nonpartisan educational and advocacy organization dedicated to advancing the separation of religion and government as the only way to ensure freedom of religion, including the right to believe or not believe, for all.",0
EIN-13-4239691,validation,"To provide efficient, effective, sustainable, and quality health related services to medically underserved areas of south-central Arkansas in an atmosphere of Christian hospitality.",1
EIN-46-2898128,validation,"to celebrate the 175th anniversary of the founding of the village of teutopolis by promoting family, faith and community and to benefit local community organizations.",0
EIN-98-0120837,validation,"Strategies for International Development (SID) develops, applies, and promotes better methods for eradicating rural poverty. We help small farmers make the transition from subsistence to successful commercial farming. We carryout programs in the poorest regions of Guatemala and Peru.",0
EIN-81-0559149,validation,we are a christian childcare center and teach christian values while caring for our enrolled children.,1
